word,freq
cold,608
Government,608
happened,607
six,605
English,604
future,603
son,601
study,598
ought,598
top,597
fine,597
especially,590
forward,590
returned,590
wish,585
blood,584
sir,582
fell,582
Will,580
added,580
town,580
Let,580
food,578
example,578
continued,577
low,577
street,575
value,575
pay,574
paper,571
remember,570
single,570
Phil,568
Captain,568
walked,566
although,565
society,564
powers,564
carried,563
Barker,561
earth,560
road,559
natural,559
special,557
language,556
million,554
soul,553
smile,553
saying,552
mouth,551
Johnson,551
private,549
account,549
art,549
stopped,549
authority,547
U.S.,546
space,544
fall,541
ship,540
slowly,540
move,538
stars,538
appeared,536
sea,536
try,535
German,534
game,533
greater,533
happy,532
/z/,532
deal,531
social,531
thinking,529
weeks,528
group,528
today,528
experience,525
control,523
cases,523
inside,523
expected,523
Lord,523
laws,523
Who,522
certainly,520
knowledge,518
heavy,518
pretty,518
fear,517
War,517
period,516
books,516
takes,515
opinion,515
led,514
Cutty,514
talking,512
French,511
Even,510
chance,509
working,508
Fleming,508
finally,507
lines,505
miles,505
instead,505
Ruth,504
thou,502
sight,502
wrong,502
meeting,502
spirit,500
simply,499
wall,497
higher,496
husband,496
North,495
merely,495
brother,494
various,493
thousand,493
Dubin,493
Just,493
report,492
quickly,492
sun,492
easy,491
sleep,490
national,489
duty,488
England,487
ran,486
rose,486
situation,485
glad,485
vote,484
suppose,484
terms,483
condition,481
personal,480
class,480
former,480
waiting,479
till,478
Secretary,478
glass,478
decided,478
laid,476
considered,476
stay,475
standing,474
none,474
problem,474
caught,473
building,473
stop,473
clothes,472
boys,472
nation,472
court,472
learned,471
author,471
expression,471
police,471
fellow,471
knows,469
afternoon,468
trouble,468
Where,468
peace,468
placed,468
entirely,465
hat,464
rule,464
military,464
reach,462
entered,462
Our,462
pass,461
mine,461
committee,461
thy,460
neither,460
giving,459
support,459
figure,459
written,458
influence,457
charge,457
usually,457
running,456
whatever,456
simple,455
Margaret,455
forth,454
foreign,453
strange,450
While,450
bright,449
filled,448
Germany,447
corner,446
start,446
closed,446
yourself,446
horses,443
beginning,443
thee,441
immediately,441
minute,441
afraid,441
speech,441
needed,440
sorry,440
property,439
questions,439
cost,439
particular,439
increase,439
